Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Ange-Gardien MÃ‰ (2455008) 00000 (  4.3%),"Ange-Gardien MÉ (CSD, QC)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Anmore VL (5915038) 00000 (  2.8%),"Anmore VL (CSD, BC)",160000,32000,80000,128000,192000,"<= $32,000","$32,000 - $80,000","$80,000 - $128,000","$128,000 - $192,000",">= $192,001",4000,800,2000,3200,"$4,800",<= $800,"$800 - $2,000","$2,000 - $3,200","$3,200 - $4,800",">= $4,801"
  Annaheim VL (4715005) 00909 (  4.5%),"Annaheim VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Annapolis (1205) 00000 (  4.0%),"Annapolis (CD, NS)",56800,11360,28400,45440,68160,"<= $11,360","$11,360 - $28,400","$28,400 - $45,440","$45,440 - $68,160",">= $68,161",1420,284,710,1136,"$1,704",<= $284,$284 - $710,"$710 - $1,136","$1,136 - $1,704",">= $1,705"
  Antelope Park No. 322 RM (4713016) 00909 (  7.7%),"Antelope Park No. 322 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Antigonish (1214) 00000 (  3.9%),"Antigonish (CD, NS)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Antler No. 61 RM (4701047) 00000 (  7.0%),"Antler No. 61 RM (CSD, SK)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
Antoine-Labelle (2479) 00000 (  8.2%),"Antoine-Labelle (CD, QC)",56400,11280,28200,45120,67680,"<= $11,280","$11,280 - $28,200","$28,200 - $45,120","$45,120 - $67,680",">= $67,681",1410,282,705,1128,"$1,692",<= $282,$282 - $705,"$705 - $1,128","$1,128 - $1,692",">= $1,693"
  Aquadeo RV (4717005) 05959 ( 50.0%),"Aquadeo RV (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Arborfield No. 456 RM (4714059) 00000 (  3.9%),"Arborfield No. 456 RM (CSD, SK)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,"$2,325",<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
  Arborfield T (4714062) 00919 ( 17.6%),"Arborfield T (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Arborg T (4618074) 00000 (  1.8%),"Arborg T (CSD, MB)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,"$1,950",<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
  Archerwill VL (4714036) 00909 (  5.6%),"Archerwill VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Arcola T (4701059) 00000 (  1.6%),"Arcola T (CSD, SK)",112000,22400,56000,89600,134400,"<= $22,400","$22,400 - $56,000","$56,000 - $89,600","$89,600 - $134,400",">= $134,401",2800,560,1400,2240,"$3,360",<= $560,"$560 - $1,400","$1,400 - $2,240","$2,240 - $3,360",">= $3,361"
Argenteuil (2476) 00000 (  6.0%),"Argenteuil (CD, QC)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,"$1,884",<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
  Argentia Beach SV (4811003) 09999 ( 50.0%),"Argentia Beach SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Argyle No. 1 RM (4701001) 00000 (  7.1%),"Argyle No. 1 RM (CSD, SK)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,"$2,190",<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
  Argyle RM (4604057) 00000 (  3.6%),"Argyle RM (CSD, MB)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,"$1,965",<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Arlington No. 79 RM (4704038) 00909 (  0.0%),"Arlington No. 79 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Arm River No. 252 RM (4711011) 00000 (  0.0%),"Arm River No. 252 RM (CSD, SK)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Armagh MÃ‰ (2419037) 00000 (  3.6%),"Armagh MÉ (CSD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,080 - $25,200","$25,200 - $40,320","$40,320 - $60,480",">= $60,481",1260,252,630,1008,"$1,512",<= $252,$252 - $630,"$630 - $1,008","$1,008 - $1,512",">= $1,513"
