Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Thompson-Nicola M (Beautiful Nicola Valley - North) RDA (5933008) 00010 ( 11.1%),"Thompson-Nicola M (CSD, BC)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Thompson-Nicola N (Beautiful Nicola Valley - South) RDA (5933012) 00010 ( 11.4%),"Thompson-Nicola N (CSD, BC)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,"$2,370",<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
  Thompson-Nicola O (Lower North Thompson) RDA (5933072) 01020 ( 25.7%),"Thompson-Nicola O (CSD, BC)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,"$2,205",<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Thompson-Nicola P (Rivers and the Peaks) RDA (5933044) 00000 (  9.5%),"Thompson-Nicola P (CSD, BC)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,"$2,730",<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Thorhild County MD (4813036) 01010 ( 17.7%),"Thorhild County MD (CSD, AL)",70500,14100,35250,56400,84600,"<= $14,100","$14,100 - $35,250","$35,250 - $56,400","$56,400 - $84,600",">= $84,601",1762.5,352.5,881.25,1410,"$2,115",<= $353,$353 - $881,"$881 - $1,410","$1,410 - $2,115",">= $2,116"
  Thorne MÃ‰ (2484045) 02020 ( 28.2%),"Thorne MÉ (CSD, QC)",44000,8800,22000,35200,52800,"<= $8,800","$8,800 - $22,000","$22,000 - $35,200","$35,200 - $52,800",">= $52,801",1100,220,550,880,"$1,320",<= $220,$220 - $550,$550 - $880,"$880 - $1,320",">= $1,321"
  Thornloe VL (3554038) 00909 (  9.1%),"Thornloe VL (CSD, ON)",,,,,,,,,,,,,,,,,,,,
  Thorold CY (3526037) 00000 (  5.6%),"Thorold CY (CSD, ON)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Thorsby T (4811021) 00010 ( 12.9%),"Thorsby T (CSD, AL)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Three Hills T (4805048) 00000 (  3.4%),"Three Hills T (CSD, AL)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,"$2,160",<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Three Lakes No. 400 RM (4715044) 01010 ( 10.7%),"Three Lakes No. 400 RM (CSD, SK)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
Thunder Bay (3558) 00000 (  6.2%),"Thunder Bay (CD, ON)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Thunder Bay CY (3558004) 00000 (  5.1%),"Thunder Bay CY (CSD, ON)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
"  Thunder Bay, Unorganized NO (3558090) 01010 ( 10.9%)","Thunder Bay, Unorganized NO (CSD, ON)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Thurso V (2480050) 00000 (  8.0%),"Thurso V (CSD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,"$1,824",<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Tillsonburg T (3532004) 00000 (  2.5%),"Tillsonburg T (CSD, ON)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,"$2,205",<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Timber Bay NH (4718012) 01919 ( 17.9%),"Timber Bay NH (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Timiskaming (3554) 00000 (  8.6%),"Timiskaming (CD, ON)",70500,14100,35250,56400,84600,"<= $14,100","$14,100 - $35,250","$35,250 - $56,400","$56,400 - $84,600",">= $84,601",1762.5,352.5,881.25,1410,"$2,115",<= $353,$353 - $881,"$881 - $1,410","$1,410 - $2,115",">= $2,116"
"  Timiskaming, Unorganized, East Part NO (3554091) 09999 (100.0%)","Timiskaming, Unorganized, East Part NO (CSD, ON)",,,,,,,,,,,,,,,,,,,,
"  Timiskaming, Unorganized, West Part NO (3554094) 00010 ( 14.6%)","Timiskaming, Unorganized, West Part NO (CSD, ON)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Timmins CY (3556027) 00000 (  4.1%),"Timmins CY (CSD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Tingwick MÃ‰ (2439025) 00000 (  5.4%),"Tingwick MÉ (CSD, QC)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,"$2,325",<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
  Tiny TP (3543068) 00000 (  9.9%),"Tiny TP (CSD, ON)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Tisdale No. 427 RM (4714043) 00000 (  8.1%),"Tisdale No. 427 RM (CSD, SK)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,"$3,060",<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
  Tisdale T (4714044) 00000 (  8.5%),"Tisdale T (CSD, SK)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,"$2,010",<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Tobin Lake RV (4714068) 02949 ( 42.0%),"Tobin Lake RV (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Tofield T (4810018) 00010 ( 10.2%),"Tofield T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Tofino DM (5923025) 00000 (  8.2%),"Tofino DM (CSD, BC)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,"$2,670",<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Togo VL (4709038) 00929 ( 20.0%),"Togo VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Tompkins VL (4708012) 00909 (  0.0%),"Tompkins VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Torch River No. 488 RM (4714077) 00000 (  9.1%),"Torch River No. 488 RM (CSD, SK)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,"$2,280",<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
Toronto (3520) 00000 (  4.7%),"Toronto (CD, ON)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Toronto C (3520005) 00000 (  4.7%),"Toronto C (CSD, ON)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Torquay VL (4702002) 00909 (  4.3%),"Torquay VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Touchwood No. 248 RM (4710014) 00010 ( 15.6%),"Touchwood No. 248 RM (CSD, SK)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1162.5,1860,"$2,790",<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
  Tourville MÃ‰ (2417035) 00000 (  2.9%),"Tourville MÉ (CSD, QC)",43200,8640,21600,34560,51840,"<= $8,640","$8,640 - $21,600","$21,600 - $34,560","$34,560 - $51,840",">= $51,841",1080,216,540,864,"$1,296",<= $216,$216 - $540,$540 - $864,"$864 - $1,296",">= $1,297"
  TrÃ¨s-Saint-RÃ©dempteur MÃ‰ (2471125) 00000 (  2.1%),"Très-Saint-Rédempteur MÉ (CSD, QC)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  TrÃ¨s-Saint-Sacrement PE (2469030) 00000 (  0.0%),"Très-Saint-Sacrement PE (CSD, QC)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  TrÃ©cesson CT (2488075) 00000 (  3.6%),"Trécesson CT (CSD, QC)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1162.5,1860,"$2,790",<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
  Trail CY (5905014) 00000 (  2.8%),"Trail CY (CSD, BC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Tramping Lake No. 380 RM (4713059) 00909 (  0.0%),"Tramping Lake No. 380 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Tramping Lake VL (4713039) 09999 ( 16.7%),"Tramping Lake VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Trent Hills MU (3514045) 00000 (  3.7%),"Trent Hills MU (CSD, ON)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,"$2,190",<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
  Trent Lakes MU (3515044) 00010 ( 11.7%),"Trent Lakes MU (CSD, ON)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Tribune VL (4702008) 09999 (  0.0%),"Tribune VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Tring-Jonction VL (2427060) 00000 (  1.8%),"Tring-Jonction VL (CSD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,"$2,025",<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Trochu T (4805049) 00000 (  7.7%),"Trochu T (CSD, AL)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Trois-Pistoles V (2411040) 00000 (  3.1%),"Trois-Pistoles V (CSD, QC)",50000,10000,25000,40000,60000,"<= $10,000","$10,000 - $25,000","$25,000 - $40,000","$40,000 - $60,000",">= $60,001",1250,250,625,1000,"$1,500",<= $250,$250 - $625,"$625 - $1,000","$1,000 - $1,500",">= $1,501"
  Trois-Rives MÃ‰ (2435055) 01010 ( 17.0%),"Trois-Rives MÉ (CSD, QC)",52400,10480,26200,41920,62880,"<= $10,480","$10,480 - $26,200","$26,200 - $41,920","$41,920 - $62,880",">= $62,881",1310,262,655,1048,"$1,572",<= $262,$262 - $655,"$655 - $1,048","$1,048 - $1,572",">= $1,573"
  Trois-RiviÃ¨res V (2437067) 00000 (  3.0%),"Trois-Rivières V (CSD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,"$1,824",<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Tudor and Cashel TP (3512048) 00010 ( 12.9%),"Tudor and Cashel TP (CSD, ON)",52800,10560,26400,42240,63360,"<= $10,560","$10,560 - $26,400","$26,400 - $42,240","$42,240 - $63,360",">= $63,361",1320,264,660,1056,"$1,584",<= $264,$264 - $660,"$660 - $1,056","$1,056 - $1,584",">= $1,585"
  Tugaske VL (4707077) 00909 (  0.0%),"Tugaske VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Tullymet No. 216 RM (4706099) 00919 ( 11.1%),"Tullymet No. 216 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Tumbler Ridge DM (5955003) 00010 ( 16.9%),"Tumbler Ridge DM (CSD, BC)",106000,21200,53000,84800,127200,"<= $21,200","$21,200 - $53,000","$53,000 - $84,800","$84,800 - $127,200",">= $127,201",2650,530,1325,2120,"$3,180",<= $530,"$530 - $1,325","$1,325 - $2,120","$2,120 - $3,180",">= $3,181"
  Turner Valley T (4806009) 00000 (  4.9%),"Turner Valley T (CSD, AL)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,"$2,610",<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Turnor Lake NH (4718075) 01919 ( 18.2%),"Turnor Lake NH (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Turtle River No. 469 RM (4717008) 00010 ( 12.9%),"Turtle River No. 469 RM (CSD, SK)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,"$1,965",<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Turtleford T (4717041) 00000 (  9.0%),"Turtleford T (CSD, SK)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,"$2,280",<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
  Tuxford VL (4707043) 00909 (  0.0%),"Tuxford VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Tweed MU (3512030) 00000 (  5.4%),"Tweed MU (CSD, ON)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,"$2,100",<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Two Borders MU (4605056) 00000 (  8.5%),"Two Borders MU (CSD, MB)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,"$1,788",<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Two Hills County No. 21 MD (4810048) 00010 ( 12.3%),"Two Hills County No. 21 MD (CSD, AL)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,"$2,085",<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
  Two Hills T (4810052) 00000 (  8.4%),"Two Hills T (CSD, AL)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,"$2,055",<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Tyendinaga TP (3512001) 00000 (  1.0%),"Tyendinaga TP (CSD, ON)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Ucluelet DM (5923019) 00000 (  9.5%),"Ucluelet DM (CSD, BC)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Ulverton MÃ‰ (2442078) 00000 (  5.4%),"Ulverton MÉ (CSD, QC)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Umiujaq TI (2499878) 09999 (  0.0%),"Umiujaq TI (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Umiujaq VN (2499080) 02020 ( 24.4%),"Umiujaq VN (CSD, QC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Unity T (4713074) 00000 (  4.0%),"Unity T (CSD, SK)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Upton MÃ‰ (2448038) 00000 (  0.9%),"Upton MÉ (CSD, QC)",70500,14100,35250,56400,84600,"<= $14,100","$14,100 - $35,250","$35,250 - $56,400","$56,400 - $84,600",">= $84,601",1762.5,352.5,881.25,1410,"$2,115",<= $353,$353 - $881,"$881 - $1,410","$1,410 - $2,115",">= $2,116"
  Usborne No. 310 RM (4711046) 00000 (  8.3%),"Usborne No. 310 RM (CSD, SK)",75000,15000,37500,60000,90000,"<= $15,000","$15,000 - $37,500","$37,500 - $60,000","$60,000 - $90,000",">= $90,001",1875,375,937.5,1500,"$2,250",<= $375,$375 - $938,"$938 - $1,500","$1,500 - $2,250",">= $2,251"
  Uxbridge TP (3518029) 00000 (  3.2%),"Uxbridge TP (CSD, ON)",120000,24000,60000,96000,144000,"<= $24,000","$24,000 - $60,000","$60,000 - $96,000","$96,000 - $144,000",">= $144,001",3000,600,1500,2400,"$3,600",<= $600,"$600 - $1,500","$1,500 - $2,400","$2,400 - $3,600",">= $3,601"
  Val Marie No. 17 RM (4704003) 00909 (  9.7%),"Val Marie No. 17 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Val Marie VL (4704002) 00909 (  8.2%),"Val Marie VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Val Quentin SV (4813005) 01919 ( 14.3%),"Val Quentin SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Val Rita-Harty TP (3556070) 00010 ( 11.0%),"Val Rita-Harty TP (CSD, ON)",95000,19000,47500,76000,114000,"<= $19,000","$19,000 - $47,500","$47,500 - $76,000","$76,000 - $114,000",">= $114,001",2375,475,1187.5,1900,"$2,850",<= $475,"$475 - $1,188","$1,188 - $1,900","$1,900 - $2,850",">= $2,851"
  Val-Alain MÃ‰ (2433070) 00000 (  2.0%),"Val-Alain MÉ (CSD, QC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,"$2,010",<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Val-Brillant MÃ‰ (2407080) 00000 (  6.9%),"Val-Brillant MÉ (CSD, QC)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,"$1,980",<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Valcourt CT (2442060) 00000 (  0.8%),"Valcourt CT (CSD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,"$2,145",<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Valcourt V (2442055) 00000 (  1.5%),"Valcourt V (CSD, QC)",57200,11440,28600,45760,68640,"<= $11,440","$11,440 - $28,600","$28,600 - $45,760","$45,760 - $68,640",">= $68,641",1430,286,715,1144,"$1,716",<= $286,$286 - $715,"$715 - $1,144","$1,144 - $1,716",">= $1,717"
  Val-David VL (2478010) 00000 (  4.3%),"Val-David VL (CSD, QC)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,"$1,950",<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
  Val-des-Bois MÃ‰ (2480140) 01010 ( 13.3%),"Val-des-Bois MÉ (CSD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,"$1,608",<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Val-des-Lacs MÃ‰ (2478100) 01010 ( 14.7%),"Val-des-Lacs MÉ (CSD, QC)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,"$1,776",<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Val-des-Monts MÃ‰ (2482015) 00000 (  8.7%),"Val-des-Monts MÉ (CSD, QC)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,"$3,060",<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
  Val-des-Sources V (2440043) 00000 (  6.8%),"Val-des-Sources V (CSD, QC)",47600,9520,23800,38080,57120,"<= $9,520","$9,520 - $23,800","$23,800 - $38,080","$38,080 - $57,120",">= $57,121",1190,238,595,952,"$1,428",<= $238,$238 - $595,$595 - $952,"$952 - $1,428",">= $1,429"
  Val-d'Or V (2489008) 00000 (  3.7%),"Val-d'Or V (CSD, QC)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,"$2,265",<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Valemount VL (5953007) 00010 ( 11.8%),"Valemount VL (CSD, BC)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,"$1,776",<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Val-Joli MÃ‰ (2442095) 00000 (  0.6%),"Val-Joli MÉ (CSD, QC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  VallÃ©e-Jonction MÃ‰ (2426015) 00000 (  3.8%),"Vallée-Jonction MÉ (CSD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,"$2,025",<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Valleyview T (4818018) 00010 ( 15.8%),"Valleyview T (CSD, AL)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Val-Morin MÃ‰ (2478005) 00000 (  3.7%),"Val-Morin MÉ (CSD, QC)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,"$1,950",<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
  Valparaiso VL (4714048) 09999 (100.0%),"Valparaiso VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
