Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Brockton MU (3541032) 00000 ( 7.9%),"Brockton MU (CSD, ON)",66500,13300,33250,53200,79800,"<= $13,300","$13,301 - $33,250","$33,251 - $53,200","$53,201 - $79,800",">= $79,801",1663,333,831,1330,1995,<= $333,$334 - $831,"$832 - $1,330","$1,331 - $1,995",">= $1,996"
Arran-Elderslie MU (3541043) 00000 ( 6.2%),"Arran-Elderslie MU (CSD, ON)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
Saugeen Shores T (3541045) 00000 ( 6.6%),"Saugeen Shores T (CSD, ON)",88000,17600,44000,70400,105600,"<= $17,600","$17,601 - $44,000","$44,001 - $70,400","$70,401 - $105,600",">= $105,601",2200,440,1100,1760,2640,<= $440,"$441 - $1,100","$1,101 - $1,760","$1,761 - $2,640",">= $2,641"
South Bruce Peninsula T (3541055) 00000 ( 4.8%),"South Bruce Peninsula T (CSD, ON)",58800,11760,29400,47040,70560,"<= $11,760","$11,761 - $29,400","$29,401 - $47,040","$47,041 - $70,560",">= $70,561",1470,294,735,1176,1764,<= $294,$295 - $735,"$736 - $1,176","$1,177 - $1,764",">= $1,765"
Northern Bruce Peninsula MU (3541069) 00000 ( 6.0%),"Northern Bruce Peninsula MU (CSD, ON)",58400,11680,29200,46720,70080,"<= $11,680","$11,681 - $29,200","$29,201 - $46,720","$46,721 - $70,080",">= $70,081",1460,292,730,1168,1752,<= $292,$293 - $730,"$731 - $1,168","$1,169 - $1,752",">= $1,753"
West Grey MU (3542004) 00000 ( 6.6%),"West Grey MU (CSD, ON)",63600,12720,31800,50880,76320,"<= $12,720","$12,721 - $31,800","$31,801 - $50,880","$50,881 - $76,320",">= $76,321",1590,318,795,1272,1908,<= $318,$319 - $795,"$796 - $1,272","$1,273 - $1,908",">= $1,909"
Southgate TP (3542005) 00001 ( 8.5%),"Southgate TP (CSD, ON)",67500,13500,33750,54000,81000,"<= $13,500","$13,501 - $33,750","$33,751 - $54,000","$54,001 - $81,000",">= $81,001",1688,338,844,1350,2025,<= $338,$339 - $844,"$845 - $1,350","$1,351 - $2,025",">= $2,026"
Grey Highlands MU (3542015) 00001 ( 9.4%),"Grey Highlands MU (CSD, ON)",67500,13500,33750,54000,81000,"<= $13,500","$13,501 - $33,750","$33,751 - $54,000","$54,001 - $81,000",">= $81,001",1688,338,844,1350,2025,<= $338,$339 - $844,"$845 - $1,350","$1,351 - $2,025",">= $2,026"
Hanover T (3542029) 00000 ( 4.3%),"Hanover T (CSD, ON)",54800,10960,27400,43840,65760,"<= $10,960","$10,961 - $27,400","$27,401 - $43,840","$43,841 - $65,760",">= $65,761",1370,274,685,1096,1644,<= $274,$275 - $685,"$686 - $1,096","$1,097 - $1,644",">= $1,645"
Chatsworth TP (3542037) 00000 ( 7.1%),"Chatsworth TP (CSD, ON)",66000,13200,33000,52800,79200,"<= $13,200","$13,201 - $33,000","$33,001 - $52,800","$52,801 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$331 - $825,"$826 - $1,320","$1,321 - $1,980",">= $1,981"
The Blue Mountains T (3542045) 00001 ( 7.8%),"The Blue Mountains T (CSD, ON)",79000,15800,39500,63200,94800,"<= $15,800","$15,801 - $39,500","$39,501 - $63,200","$63,201 - $94,800",">= $94,801",1975,395,988,1580,2370,<= $395,$396 - $988,"$989 - $1,580","$1,581 - $2,370",">= $2,371"
Meaford MU (3542047) 00000 ( 6.2%),"Meaford MU (CSD, ON)",66000,13200,33000,52800,79200,"<= $13,200","$13,201 - $33,000","$33,001 - $52,800","$52,801 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$331 - $825,"$826 - $1,320","$1,321 - $1,980",">= $1,981"
Georgian Bluffs TP (3542053) 00000 ( 6.1%),"Georgian Bluffs TP (CSD, ON)",78500,15700,39250,62800,94200,"<= $15,700","$15,701 - $39,250","$39,251 - $62,800","$62,801 - $94,200",">= $94,201",1963,393,981,1570,2355,<= $393,$394 - $981,"$982 - $1,570","$1,571 - $2,355",">= $2,356"
Owen Sound CY (3542059) 00000 ( 4.4%),"Owen Sound CY (CSD, ON)",51200,10240,25600,40960,61440,"<= $10,240","$10,241 - $25,600","$25,601 - $40,960","$40,961 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$257 - $640,"$641 - $1,024","$1,025 - $1,536",">= $1,537"
Adjala-Tosorontio TP (3543003) 00000 ( 6.3%),"Adjala-Tosorontio TP (CSD, ON)",100000,20000,50000,80000,120000,"<= $20,000","$20,001 - $50,000","$50,001 - $80,000","$80,001 - $120,000",">= $120,001",2500,500,1250,2000,3000,<= $500,"$501 - $1,250","$1,251 - $2,000","$2,001 - $3,000",">= $3,001"
Clearview TP (3543005) 00000 ( 6.8%),"Clearview TP (CSD, ON)",78500,15700,39250,62800,94200,"<= $15,700","$15,701 - $39,250","$39,251 - $62,800","$62,801 - $94,200",">= $94,201",1963,393,981,1570,2355,<= $393,$394 - $981,"$982 - $1,570","$1,571 - $2,355",">= $2,356"
New Tecumseth T (3543007) 00000 ( 4.7%),"New Tecumseth T (CSD, ON)",86000,17200,43000,68800,103200,"<= $17,200","$17,201 - $43,000","$43,001 - $68,800","$68,801 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$431 - $1,075","$1,076 - $1,720","$1,721 - $2,580",">= $2,581"
Springwater TP (3543009) 00000 ( 4.9%),"Springwater TP (CSD, ON)",100000,20000,50000,80000,120000,"<= $20,000","$20,001 - $50,000","$50,001 - $80,000","$80,001 - $120,000",">= $120,001",2500,500,1250,2000,3000,<= $500,"$501 - $1,250","$1,251 - $2,000","$2,001 - $3,000",">= $3,001"
Bradford West Gwillimbury T (3543014) 00000 ( 4.6%),"Bradford West Gwillimbury T (CSD, ON)",94000,18800,47000,75200,112800,"<= $18,800","$18,801 - $47,000","$47,001 - $75,200","$75,201 - $112,800",">= $112,801",2350,470,1175,1880,2820,<= $470,"$471 - $1,175","$1,176 - $1,880","$1,881 - $2,820",">= $2,821"
Severn TP (3543015) 00000 ( 4.9%),"Severn TP (CSD, ON)",76000,15200,38000,60800,91200,"<= $15,200","$15,201 - $38,000","$38,001 - $60,800","$60,801 - $91,200",">= $91,201",1900,380,950,1520,2280,<= $380,$381 - $950,"$951 - $1,520","$1,521 - $2,280",">= $2,281"
Innisfil T (3543017) 00000 ( 5.3%),"Innisfil T (CSD, ON)",84000,16800,42000,67200,100800,"<= $16,800","$16,801 - $42,000","$42,001 - $67,200","$67,201 - $100,800",">= $100,801",2100,420,1050,1680,2520,<= $420,"$421 - $1,050","$1,051 - $1,680","$1,681 - $2,520",">= $2,521"
Ramara TP (3543019) 00001 ( 7.7%),"Ramara TP (CSD, ON)",72000,14400,36000,57600,86400,"<= $14,400","$14,401 - $36,000","$36,001 - $57,600","$57,601 - $86,400",">= $86,401",1800,360,900,1440,2160,<= $360,$361 - $900,"$901 - $1,440","$1,441 - $2,160",">= $2,161"
Essa TP (3543021) 00100 ( 3.5%),"Essa TP (CSD, ON)",86000,17200,43000,68800,103200,"<= $17,200","$17,201 - $43,000","$43,001 - $68,800","$68,801 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$431 - $1,075","$1,076 - $1,720","$1,721 - $2,580",">= $2,581"
Oro-Medonte TP (3543023) 00000 ( 4.1%),"Oro-Medonte TP (CSD, ON)",96000,19200,48000,76800,115200,"<= $19,200","$19,201 - $48,000","$48,001 - $76,800","$76,801 - $115,200",">= $115,201",2400,480,1200,1920,2880,<= $480,"$481 - $1,200","$1,201 - $1,920","$1,921 - $2,880",">= $2,881"
Collingwood T (3543031) 00000 ( 4.4%),"Collingwood T (CSD, ON)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
Barrie CY (3543042) 00000 ( 3.7%),"Barrie CY (CSD, ON)",78000,15600,39000,62400,93600,"<= $15,600","$15,601 - $39,000","$39,001 - $62,400","$62,401 - $93,600",">= $93,601",1950,390,975,1560,2340,<= $390,$391 - $975,"$976 - $1,560","$1,561 - $2,340",">= $2,341"
Orillia CY (3543052) 00000 ( 3.9%),"Orillia CY (CSD, ON)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Wasaga Beach T (3543064) 00000 ( 5.3%),"Wasaga Beach T (CSD, ON)",62800,12560,31400,50240,75360,"<= $12,560","$12,561 - $31,400","$31,401 - $50,240","$50,241 - $75,360",">= $75,361",1570,314,785,1256,1884,<= $314,$315 - $785,"$786 - $1,256","$1,257 - $1,884",">= $1,885"
Tiny TP (3543068) 00000 ( 6.9%),"Tiny TP (CSD, ON)",70000,14000,35000,56000,84000,"<= $14,000","$14,001 - $35,000","$35,001 - $56,000","$56,001 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$351 - $875,"$876 - $1,400","$1,401 - $2,100",">= $2,101"
Tay TP (3543071) 00000 ( 6.2%),"Tay TP (CSD, ON)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
Penetanguishene T (3543072) 00000 ( 4.5%),"Penetanguishene T (CSD, ON)",60000,12000,30000,48000,72000,"<= $12,000","$12,001 - $30,000","$30,001 - $48,000","$48,001 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$301 - $750,"$751 - $1,200","$1,201 - $1,800",">= $1,801"
Midland T (3543074) 00000 ( 3.7%),"Midland T (CSD, ON)",55200,11040,27600,44160,66240,"<= $11,040","$11,041 - $27,600","$27,601 - $44,160","$44,161 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$277 - $690,"$691 - $1,104","$1,105 - $1,656",">= $1,657"
Gravenhurst T (3544002) 00100 ( 5.4%),"Gravenhurst T (CSD, ON)",60000,12000,30000,48000,72000,"<= $12,000","$12,001 - $30,000","$30,001 - $48,000","$48,001 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$301 - $750,"$751 - $1,200","$1,201 - $1,800",">= $1,801"
Bracebridge T (3544018) 00000 ( 4.7%),"Bracebridge T (CSD, ON)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
Lake of Bays TP (3544027) 00000 ( 7.9%),"Lake of Bays TP (CSD, ON)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
Huntsville T (3544042) 00000 ( 6.5%),"Huntsville T (CSD, ON)",69000,13800,34500,55200,82800,"<= $13,800","$13,801 - $34,500","$34,501 - $55,200","$55,201 - $82,800",">= $82,801",1725,345,863,1380,2070,<= $345,$346 - $863,"$864 - $1,380","$1,381 - $2,070",">= $2,071"
Muskoka Lakes TP (3544053) 00000 ( 8.4%),"Muskoka Lakes TP (CSD, ON)",75000,15000,37500,60000,90000,"<= $15,000","$15,001 - $37,500","$37,501 - $60,000","$60,001 - $90,000",">= $90,001",1875,375,938,1500,2250,<= $375,$376 - $938,"$939 - $1,500","$1,501 - $2,250",">= $2,251"
Georgian Bay TP (3544065) 00011 ( 10.5%),"Georgian Bay TP (CSD, ON)",68000,13600,34000,54400,81600,"<= $13,600","$13,601 - $34,000","$34,001 - $54,400","$54,401 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$341 - $850,"$851 - $1,360","$1,361 - $2,040",">= $2,041"
Highlands East MU (3546005) 00000 ( 7.6%),"Highlands East MU (CSD, ON)",48400,9680,24200,38720,58080,"<= $9,680","$9,681 - $24,200","$24,201 - $38,720","$38,721 - $58,080",">= $58,081",1210,242,605,968,1452,<= $242,$243 - $605,$606 - $968,"$969 - $1,452",">= $1,453"
Minden Hills TP (3546015) 00001 ( 9.6%),"Minden Hills TP (CSD, ON)",58400,11680,29200,46720,70080,"<= $11,680","$11,681 - $29,200","$29,201 - $46,720","$46,721 - $70,080",">= $70,081",1460,292,730,1168,1752,<= $292,$293 - $730,"$731 - $1,168","$1,169 - $1,752",">= $1,753"
Algonquin Highlands TP (3546018) 00111 ( 10.9%),"Algonquin Highlands TP (CSD, ON)",64000,12800,32000,51200,76800,"<= $12,800","$12,801 - $32,000","$32,001 - $51,200","$51,201 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$321 - $800,"$801 - $1,280","$1,281 - $1,920",">= $1,921"
Dysart et al MU (3546024) 00000 ( 7.1%),"Dysart et al MU (CSD, ON)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
Arnprior T (3547002) 00000 ( 5.5%),"Arnprior T (CSD, ON)",62000,12400,31000,49600,74400,"<= $12,400","$12,401 - $31,000","$31,001 - $49,600","$49,601 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$311 - $775,"$776 - $1,240","$1,241 - $1,860",">= $1,861"
McNab/Braeside TP (3547003) 00000 ( 3.6%),"McNab/Braeside TP (CSD, ON)",81000,16200,40500,64800,97200,"<= $16,200","$16,201 - $40,500","$40,501 - $64,800","$64,801 - $97,200",">= $97,201",2025,405,1013,1620,2430,<= $405,"$406 - $1,013","$1,014 - $1,620","$1,621 - $2,430",">= $2,431"
Greater Madawaska TP (3547008) 00001 ( 9.9%),"Greater Madawaska TP (CSD, ON)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
"Brudenell, Lyndoch and Raglan TP (3547020) 00000 ( 7.3%)","Brudenell, Lyndoch and Raglan TP (CSD, ON)",48000,9600,24000,38400,57600,"<= $9,600","$9,601 - $24,000","$24,001 - $38,400","$38,401 - $57,600",">= $57,601",1200,240,600,960,1440,<= $240,$241 - $600,$601 - $960,"$961 - $1,440",">= $1,441"
Madawaska Valley TP (3547030) 00001 ( 9.8%),"Madawaska Valley TP (CSD, ON)",51600,10320,25800,41280,61920,"<= $10,320","$10,321 - $25,800","$25,801 - $41,280","$41,281 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$259 - $645,"$646 - $1,032","$1,033 - $1,548",">= $1,549"
"Killaloe, Hagarty and Richards TP (3547033) 00000 ( 7.7%)","Killaloe, Hagarty and Richards TP (CSD, ON)",54000,10800,27000,43200,64800,"<= $10,800","$10,801 - $27,000","$27,001 - $43,200","$43,201 - $64,800",">= $64,801",1350,270,675,1080,1620,<= $270,$271 - $675,"$676 - $1,080","$1,081 - $1,620",">= $1,621"
Bonnechere Valley TP (3547035) 00001 ( 9.3%),"Bonnechere Valley TP (CSD, ON)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
Admaston/Bromley TP (3547043) 00001 ( 6.9%),"Admaston/Bromley TP (CSD, ON)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
Horton TP (3547046) 00000 ( 5.2%),"Horton TP (CSD, ON)",76500,15300,38250,61200,91800,"<= $15,300","$15,301 - $38,250","$38,251 - $61,200","$61,201 - $91,800",">= $91,801",1913,383,956,1530,2295,<= $383,$384 - $956,"$957 - $1,530","$1,531 - $2,295",">= $2,296"
Renfrew T (3547048) 00000 ( 3.6%),"Renfrew T (CSD, ON)",48400,9680,24200,38720,58080,"<= $9,680","$9,681 - $24,200","$24,201 - $38,720","$38,721 - $58,080",">= $58,081",1210,242,605,968,1452,<= $242,$243 - $605,$606 - $968,"$969 - $1,452",">= $1,453"
Whitewater Region TP (3547056) 00000 ( 6.1%),"Whitewater Region TP (CSD, ON)",67500,13500,33750,54000,81000,"<= $13,500","$13,501 - $33,750","$33,751 - $54,000","$54,001 - $81,000",">= $81,001",1688,338,844,1350,2025,<= $338,$339 - $844,"$845 - $1,350","$1,351 - $2,025",">= $2,026"
Pembroke CY (3547064) 00000 ( 5.4%),"Pembroke CY (CSD, ON)",51200,10240,25600,40960,61440,"<= $10,240","$10,241 - $25,600","$25,601 - $40,960","$40,961 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$257 - $640,"$641 - $1,024","$1,025 - $1,536",">= $1,537"
North Algona Wilberforce TP (3547070) 00000 ( 6.8%),"North Algona Wilberforce TP (CSD, ON)",66500,13300,33250,53200,79800,"<= $13,300","$13,301 - $33,250","$33,251 - $53,200","$53,201 - $79,800",">= $79,801",1663,333,831,1330,1995,<= $333,$334 - $831,"$832 - $1,330","$1,331 - $1,995",">= $1,996"
Laurentian Valley TP (3547075) 00000 ( 3.4%),"Laurentian Valley TP (CSD, ON)",79500,15900,39750,63600,95400,"<= $15,900","$15,901 - $39,750","$39,751 - $63,600","$63,601 - $95,400",">= $95,401",1988,398,994,1590,2385,<= $398,$399 - $994,"$995 - $1,590","$1,591 - $2,385",">= $2,386"
Petawawa T (3547076) 00100 ( 3.0%),"Petawawa T (CSD, ON)",86000,17200,43000,68800,103200,"<= $17,200","$17,201 - $43,000","$43,001 - $68,800","$68,801 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$431 - $1,075","$1,076 - $1,720","$1,721 - $2,580",">= $2,581"
Laurentian Hills T (3547090) 00000 ( 7.5%),"Laurentian Hills T (CSD, ON)",81000,16200,40500,64800,97200,"<= $16,200","$16,201 - $40,500","$40,501 - $64,800","$64,801 - $97,200",">= $97,201",2025,405,1013,1620,2430,<= $405,"$406 - $1,013","$1,014 - $1,620","$1,621 - $2,430",">= $2,431"
Deep River T (3547096) 00000 ( 4.5%),"Deep River T (CSD, ON)",91000,18200,45500,72800,109200,"<= $18,200","$18,201 - $45,500","$45,501 - $72,800","$72,801 - $109,200",">= $109,201",2275,455,1138,1820,2730,<= $455,"$456 - $1,138","$1,139 - $1,820","$1,821 - $2,730",">= $2,731"
South Algonquin TP (3548001) 00011 ( 11.7%),"South Algonquin TP (CSD, ON)",50000,10000,25000,40000,60000,"<= $10,000","$10,001 - $25,000","$25,001 - $40,000","$40,001 - $60,000",">= $60,001",1250,250,625,1000,1500,<= $250,$251 - $625,"$626 - $1,000","$1,001 - $1,500",">= $1,501"
Papineau-Cameron TP (3548013) 00000 ( 5.2%),"Papineau-Cameron TP (CSD, ON)",60000,12000,30000,48000,72000,"<= $12,000","$12,001 - $30,000","$30,001 - $48,000","$48,001 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$301 - $750,"$751 - $1,200","$1,201 - $1,800",">= $1,801"
Mattawa T (3548021) 00000 ( 9.7%),"Mattawa T (CSD, ON)",47200,9440,23600,37760,56640,"<= $9,440","$9,441 - $23,600","$23,601 - $37,760","$37,761 - $56,640",">= $56,641",1180,236,590,944,1416,<= $236,$237 - $590,$591 - $944,"$945 - $1,416",">= $1,417"
Calvin MU (3548022) 00000 ( 9.4%),"Calvin MU (CSD, ON)",38000,7600,19000,30400,45600,"<= $7,600","$7,601 - $19,000","$19,001 - $30,400","$30,401 - $45,600",">= $45,601",950,190,475,760,1140,<= $190,$191 - $475,$476 - $760,"$761 - $1,140",">= $1,141"
Bonfield TP (3548027) 00011 ( 10.4%),"Bonfield TP (CSD, ON)",67500,13500,33750,54000,81000,"<= $13,500","$13,501 - $33,750","$33,751 - $54,000","$54,001 - $81,000",">= $81,001",1688,338,844,1350,2025,<= $338,$339 - $844,"$845 - $1,350","$1,351 - $2,025",">= $2,026"
Chisholm TP (3548031) 00000 ( 7.5%),"Chisholm TP (CSD, ON)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
East Ferris MU (3548034) 00000 ( 6.3%),"East Ferris MU (CSD, ON)",93000,18600,46500,74400,111600,"<= $18,600","$18,601 - $46,500","$46,501 - $74,400","$74,401 - $111,600",">= $111,601",2325,465,1163,1860,2790,<= $465,"$466 - $1,163","$1,164 - $1,860","$1,861 - $2,790",">= $2,791"
North Bay CY (3548044) 00000 ( 5.3%),"North Bay CY (CSD, ON)",60400,12080,30200,48320,72480,"<= $12,080","$12,081 - $30,200","$30,201 - $48,320","$48,321 - $72,480",">= $72,481",1510,302,755,1208,1812,<= $302,$303 - $755,"$756 - $1,208","$1,209 - $1,812",">= $1,813"
West Nipissing / Nipissing Ouest M (3548055) 00000 ( 8.0%),"West Nipissing / Nipissing Ouest M (CSD, ON)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Temagami MU (3548069) 00100 ( 7.0%),"Temagami MU (CSD, ON)",49600,9920,24800,39680,59520,"<= $9,920","$9,921 - $24,800","$24,801 - $39,680","$39,681 - $59,520",">= $59,521",1240,248,620,992,1488,<= $248,$249 - $620,$621 - $992,"$993 - $1,488",">= $1,489"
"Nipissing, Unorganized, North Part NO (3548094) 00100 ( 9.1%)","Nipissing, Unorganized, North Part NO (CSD, ON)",69000,13800,34500,55200,82800,"<= $13,800","$13,801 - $34,500","$34,501 - $55,200","$55,201 - $82,800",">= $82,801",1725,345,863,1380,2070,<= $345,$346 - $863,"$864 - $1,380","$1,381 - $2,070",">= $2,071"
Seguin TP (3549003) 00011 ( 12.1%),"Seguin TP (CSD, ON)",69000,13800,34500,55200,82800,"<= $13,800","$13,801 - $34,500","$34,501 - $55,200","$55,201 - $82,800",">= $82,801",1725,345,863,1380,2070,<= $345,$346 - $863,"$864 - $1,380","$1,381 - $2,070",">= $2,071"
The Archipelago TP (3549005) 00100 ( 6.9%),"The Archipelago TP (CSD, ON)",74500,14900,37250,59600,89400,"<= $14,900","$14,901 - $37,250","$37,251 - $59,600","$59,601 - $89,400",">= $89,401",1863,373,931,1490,2235,<= $373,$374 - $931,"$932 - $1,490","$1,491 - $2,235",">= $2,236"
McMurrich/Monteith TP (3549012) 00000 ( 7.0%),"McMurrich/Monteith TP (CSD, ON)",52400,10480,26200,41920,62880,"<= $10,480","$10,481 - $26,200","$26,201 - $41,920","$41,921 - $62,880",">= $62,881",1310,262,655,1048,1572,<= $262,$263 - $655,"$656 - $1,048","$1,049 - $1,572",">= $1,573"
Perry TP (3549014) 00011 ( 10.1%),"Perry TP (CSD, ON)",58800,11760,29400,47040,70560,"<= $11,760","$11,761 - $29,400","$29,401 - $47,040","$47,041 - $70,560",">= $70,561",1470,294,735,1176,1764,<= $294,$295 - $735,"$736 - $1,176","$1,177 - $1,764",">= $1,765"
Kearney T (3549018) 00000 ( 6.0%),"Kearney T (CSD, ON)",52800,10560,26400,42240,63360,"<= $10,560","$10,561 - $26,400","$26,401 - $42,240","$42,241 - $63,360",">= $63,361",1320,264,660,1056,1584,<= $264,$265 - $660,"$661 - $1,056","$1,057 - $1,584",">= $1,585"
Armour TP (3549019) 00000 ( 7.6%),"Armour TP (CSD, ON)",59600,11920,29800,47680,71520,"<= $11,920","$11,921 - $29,800","$29,801 - $47,680","$47,681 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$299 - $745,"$746 - $1,192","$1,193 - $1,788",">= $1,789"
Burk's Falls VL (3549022) 00001 ( 9.7%),"Burk's Falls VL (CSD, ON)",46800,9360,23400,37440,56160,"<= $9,360","$9,361 - $23,400","$23,401 - $37,440","$37,441 - $56,160",">= $56,161",1170,234,585,936,1404,<= $234,$235 - $585,$586 - $936,"$937 - $1,404",">= $1,405"
Ryerson TP (3549024) 00000 ( 3.6%),"Ryerson TP (CSD, ON)",59200,11840,29600,47360,71040,"<= $11,840","$11,841 - $29,600","$29,601 - $47,360","$47,361 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$297 - $740,"$741 - $1,184","$1,185 - $1,776",">= $1,777"
McKellar TP (3549028) 00001 ( 9.6%),"McKellar TP (CSD, ON)",74000,14800,37000,59200,88800,"<= $14,800","$14,801 - $37,000","$37,001 - $59,200","$59,201 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$371 - $925,"$926 - $1,480","$1,481 - $2,220",">= $2,221"
McDougall MU (3549031) 00001 ( 9.6%),"McDougall MU (CSD, ON)",81000,16200,40500,64800,97200,"<= $16,200","$16,201 - $40,500","$40,501 - $64,800","$64,801 - $97,200",">= $97,201",2025,405,1013,1620,2430,<= $405,"$406 - $1,013","$1,014 - $1,620","$1,621 - $2,430",">= $2,431"
Parry Sound T (3549032) 00000 ( 5.6%),"Parry Sound T (CSD, ON)",51200,10240,25600,40960,61440,"<= $10,240","$10,241 - $25,600","$25,601 - $40,960","$40,961 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$257 - $640,"$641 - $1,024","$1,025 - $1,536",">= $1,537"
Carling TP (3549036) 00001 ( 8.5%),"Carling TP (CSD, ON)",67000,13400,33500,53600,80400,"<= $13,400","$13,401 - $33,500","$33,501 - $53,600","$53,601 - $80,400",">= $80,401",1675,335,838,1340,2010,<= $335,$336 - $838,"$839 - $1,340","$1,341 - $2,010",">= $2,011"
Whitestone MU (3549039) 00000 ( 9.7%),"Whitestone MU (CSD, ON)",59200,11840,29600,47360,71040,"<= $11,840","$11,841 - $29,600","$29,601 - $47,360","$47,361 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$297 - $740,"$741 - $1,184","$1,185 - $1,776",">= $1,777"
Magnetawan MU (3549043) 00000 ( 8.5%),"Magnetawan MU (CSD, ON)",52800,10560,26400,42240,63360,"<= $10,560","$10,561 - $26,400","$26,401 - $42,240","$42,241 - $63,360",">= $63,361",1320,264,660,1056,1584,<= $264,$265 - $660,"$661 - $1,056","$1,057 - $1,584",">= $1,585"
Strong TP (3549046) 00000 ( 7.3%),"Strong TP (CSD, ON)",57200,11440,28600,45760,68640,"<= $11,440","$11,441 - $28,600","$28,601 - $45,760","$45,761 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$287 - $715,"$716 - $1,144","$1,145 - $1,716",">= $1,717"
